method,seed,k,knn_accuracy,svm_accuracy,dataset
Fisher,18,25,70.1923076923077,55.96153846153846,madelon
Fisher,18,50,64.8076923076923,52.69230769230769,madelon
Fisher,18,75,60.96153846153847,54.807692307692314,madelon
Fisher,18,100,54.807692307692314,51.34615384615384,madelon
Fisher,18,150,54.230769230769226,50.0,madelon
Fisher,18,200,56.53846153846154,47.88461538461539,madelon
Fisher,18,300,55.769230769230774,50.0,madelon
Fisher,18,500,51.34615384615384,49.80769230769231,madelon
Fisher,19,25,69.61538461538461,60.76923076923077,madelon
Fisher,19,50,63.26923076923077,55.38461538461539,madelon
Fisher,19,75,61.346153846153854,57.692307692307686,madelon
Fisher,19,100,59.23076923076923,59.23076923076923,madelon
Fisher,19,150,56.34615384615385,57.692307692307686,madelon
Fisher,19,200,55.19230769230769,58.46153846153847,madelon
Fisher,19,300,55.96153846153846,59.42307692307692,madelon
Fisher,19,500,56.15384615384615,59.03846153846154,madelon
Fisher,20,25,70.76923076923077,57.49999999999999,madelon
Fisher,20,50,66.15384615384615,54.807692307692314,madelon
Fisher,20,75,60.57692307692307,54.61538461538461,madelon
Fisher,20,100,57.692307692307686,51.92307692307693,madelon
Fisher,20,150,54.230769230769226,52.5,madelon
Fisher,20,200,52.5,52.69230769230769,madelon
Fisher,20,300,52.69230769230769,55.38461538461539,madelon
Fisher,20,500,51.73076923076923,54.61538461538461,madelon
Fisher,21,25,71.73076923076923,59.42307692307692,madelon
Fisher,21,50,64.61538461538461,55.96153846153846,madelon
Fisher,21,75,62.30769230769231,54.61538461538461,madelon
Fisher,21,100,62.88461538461539,56.34615384615385,madelon
Fisher,21,150,59.42307692307692,55.769230769230774,madelon
Fisher,21,200,60.0,55.96153846153846,madelon
Fisher,21,300,57.30769230769231,54.61538461538461,madelon
Fisher,21,500,52.5,58.07692307692308,madelon
Fisher,22,25,74.8076923076923,60.57692307692307,madelon
Fisher,22,50,64.8076923076923,58.65384615384615,madelon
Fisher,22,75,59.42307692307692,55.38461538461539,madelon
Fisher,22,100,57.692307692307686,55.57692307692308,madelon
Fisher,22,150,59.03846153846154,58.46153846153847,madelon
Fisher,22,200,58.46153846153847,59.03846153846154,madelon
Fisher,22,300,51.73076923076923,55.38461538461539,madelon
Fisher,22,500,53.84615384615385,57.11538461538461,madelon
Fisher,23,25,74.23076923076923,55.57692307692308,madelon
Fisher,23,50,63.07692307692307,56.53846153846154,madelon
